Otro.1,count
,302
Informacion.,8
SOLICITAR COPIA DE LA FACTURA,2
SOLICITUD DE INFORMACION,2
VENGO A SOLICITAR CAMBIO DE TITULAR,2
VENGO A SOLICITAR INFORMACION DEL PAGO DE LA FACTURA,2
Informacion,2
SOLICITUD DE INFORMACION PAGO DE FACTURA,2
SOLICITUD DE INFORMACION FACTURA,2
ME COBRARON MI CONTADOR Y CONSUMO DURANTE UNOS 20 ANOS NADIE ME DEVUELVE TODO LO QUE YO HE INVERTIDO ME ESTAN COBRANDO UNA SUPUESTA VISITA DE UN TECNICO QUE NI FUERON CAPAZ DE AVISAR,1
ME QUITARON EL SUBSIDIO DE LA NADA Y ME DIJERON QUE ME TOCA PAGAR EL 20% SOBRE EL VALOR TOTAL LA FACTURA ME LLEGO POR UN OJO DE LA CARA ME CAMBIARON DE LA NADA DE RESIDENCIAL A COMERCIAL,1
TENGO UNA DEUDA QUE DESCONOZCO9,1
ME ESTAN LLEGANDO A MI FACTURA UN COBRO QUE DESCONOZCO,1
VENGO A SOLICITAR VISITA HUELE A GAS EN LA COCINA,1
ME ESTAN LLEGANDO UNOS COBROS QUE DESCONOZCO EN MI FACTURA HACE DOS VINE HACER UN ACUERDO DE PAGO QUE NO ME LO HICIERON VALIDO ME ESTAN LLEGANDO NOTIFICACIONES DE COBRO PREJURIDICO,1
VENGO A SOLICITAR CAMBIO DE TITULAR EN LAS FACTURAS,1
ME ESTAN COBRANDOLA FACTURA DEL MES DE NOVIEMBRE COMO SI NO HUBIERA PAGADO EL MES DE OCTUBRE,1
ME ESTAN HACIENDO UN COBRO QUE DESCONOZCO,1
ME CORTARON EL SERVICIO,1
ME HICIERON LA SUSPENSION DEL SERVICIO LA FACTURA NO ME LLEGA,1
LA FACTURA ME LLEGO POR UN VALOR Y CUANDO FUI A PAGARLO ME SALIO OTRO VALOR,1
POR NEQUI NO ESTA GENERANDO EL DESCUENTO DEL SERVICIO,1
LLEGAMOS 15 MINUTOS TARDE Y NO NOS QUISIERON ATENDER,1
RESULTA QUE YO COGI LOS RECIBOS QUE ESTABAN ENCIMA DE LA MESA Y RESULTA QUE PAGUE FUE EL DE MI VECINA Y NO ME DI CUENTA NUMERO DE CUENTA DE ELLA ES [TEL]A NOMBRE DE ADORCINDA MORALES,1
VENGO A SOLICITAR MI FACTURA PARA PAGARLA,1
SOLICITAR COPIA DE LA FACTURA PARA PODER PAGARLA,1
TENGO UN COBRO DE UN SEGURO QUE DESCONOZCO YO NO LO SOLICITE Y ME LO ESTAN COBRANDO,1
VENGO A SOLICITAR COPIA DE UNAS FACTURAS QUE NO TENGOAS,1
VENGO A SOLICITAR ACUERDO DE PAGO YA QUE MIS INQUILINOS NO PAGABAN LOS SERVICIOS Y ME DEJARON LA DEUDA,1
COMO SE LES OCURRE COBRAR ASEO POR UN PREDIO VACIO,1
