10._Municipio,11._Nombre_Punto_Atencion,count
"BOGOTA, D.C.",SUPER CADE AMERICAS,244
"BOGOTA, D.C.",CADE KENNEDY,63
"BOGOTA, D.C.",ACUEDUCTO AGUA Y ALCANTARILLADO SAN DIEGO,45
"BOGOTA, D.C.",SUPER CADE 30,43
"BOGOTA, D.C.",SUPER CADE KENNEDY,33
ZIPAQUIRA,VANTI MEGACITY,28
"BOGOTA, D.C.",ACUEDUCTO Y ALCANTARILLADO CENTRO NARINO,23
"BOGOTA, D.C.",CADE MUZU,15
"BOGOTA, D.C.","Av calle 24 # 37-15, CENTRO NARINO",15
"BOGOTA, D.C.",SUPER CADE MUZU,14
"BOGOTA, D.C.",Super Cade 30,13
ZIPAQUIRA,ENEL COLOMBIA ZIPAQUIRA,10
ZIPAQUIRA,ENEL ZIPAQUIRA,9
ZIPAQUIRA,CR 21 #8-42 Megaciti,8
"BOGOTA, D.C.",Supercade CR 30,5
"BOGOTA, D.C.",Av Caracas #58-74 Oikos,4
"BOGOTA, D.C.",PROAMBIENTAL DISTRITO S.A.S ESP TV 4 51A 25,4
"BOGOTA, D.C.",TR 4 #51A 25,3
"BOGOTA, D.C.",ACUEDUCTO Y ALCANTARILLADO DE BOGOTA CR 7a 33 53,3
"BOGOTA, D.C.",CR 7 #33-53 SAN DIEGO,3
"BOGOTA, D.C.",Av Caracas #58-74 Oikos.,2
"BOGOTA, D.C.",Aldana:,2
"BOGOTA, D.C.",ACUEDUCTO AGUA Y ALCANTARILLADO CENTRO NARINO,1
"BOGOTA, D.C.",Acueducto y Alcantarillado de Bogota CR 7a 33 - 53,1
"BOGOTA, D.C.",Av Caracas #58-74 OIkos,1
"BOGOTA, D.C.",MARIA,1
"BOGOTA, D.C.",CR 18 CLL 17 piso 3,1
"BOGOTA, D.C.",Av Caracas #58-74,1
"BOGOTA, D.C.",SUPER CADE AMERICAS62,1
"BOGOTA, D.C.",PROAMBIENTAL DISTRITO SAS ESP,1
"BOGOTA, D.C.",Toledogloria636@gmail.com,1
"BOGOTA, D.C.",arturocendales.58.x@gmail.com,1
ZIPAQUIRA,ENEL COLOMBIA,1
