Otro.16,count
,397
VENGO A SOLICITAR COPIA DE LA FACTURA,5
VENGO A SOLICITAR CAMBIO DE TITULAR,3
SOLICITO COPIA DE LA FACTURA,2
VENGO A SOLICITAR INFORMACION SOBRE EL PAGO DE MI FACTURA,2
Creen que le van a resolver el motivo de la visita.,1
FUE RESUELTA MI DUDA,1
SOLICITO LA REACTIVACION DEL SERVICIO CON URGENCIA,1
ES SOLO LA RECONEXION DEL SERVICIO,1
Ya fue resuelta,1
Una queja,1
SOLICITO NUEVA COMETIDA,1
SOLICITE INFORMACION DE COMO CAMBIAR DE USO DEL SERVICIO PERO ME RESPONDIO EL FUNCIONARIO NO SE Y ME MANDO A COLOCAR UN DERECHO DE PETICION,1
SOLO VINO A SOLICITAR INFORMACION PARA EL PAGO DE LA FACTURA,1
SOLO SOLICITE INFORMACION DE MI FACTURA,1
SOLICITUD DE INFORMACION,1
ME FUE ATENDIDA MI SOLICITUD DE INFORMACION DE LA FACTURA,1
SOLO VENGO POR RECONEXION DEL SERVICIO,1
ME FUE BRINDADA LA INFORMACION ACERCA DE MI FACTURA,1
SOLO VENIA HACER CAMBIO DE NOMBRE EN LOS RECIBOS,1
ME COLABORARON CON LA INFORMACION SOLICITADA,1
ME DIERON LA INFORMACION SOLICITADA,1
ME DIERON LA COPIA DEL RECIBO AL INSTANTE,1
ES UNA REFINANCIACION DEL PAGO TOTAL DE LA FACTURA,1
SOLICITUD DEL PAGO DE MI FACTURA,1
ME RESOLVIERON IMPRIMIENDO COPIA DE LA FACTURA,1
QUIERO QUE LE HAGAN UNA BUENA REVISION EN ESA DIRECCION,1
SOLICITO MI FACTURA ME LLEGUE AL CORREO,1
EL COBRO DE LA FACTURA ES EXCESIVO HICIERON CAMBIO DE MEDIDOR SIN HABERLO SOLICITADO,1
SOLICITO INFORMACION PAGO DE LA FACTURA,1
