Otro.13,count
,515
"Sin servicio, no se notufico y todo pago.",1
Poliza exequial,1
Mala atencion de la funcionaria YERALDINE CEPEDA,1
Me cortaron el servicio yo lo pague en la manana y me lo cortaron en la tarde,1
ME SUSPENDIERON EL SERVICIO SOLICITO LA REACTIVACION,1
SE ESTAN FILTRANDO LAS AGUAS RESIDUALES A LOS LOCALES COMERCIALES Y VIVIENDAS Y NO HAN ECHO VISITA PARA DAR SOLUCION A DICHO PROBLEMA DESDE EL MES DE JUNIO # DE ORDEN [TEL]Y DEL MES DE OCTUBRE # DE ORDEN [TEL],1
SE ANEXA REGISTRO WHATSAP DEL CUAL FUE ENVIADO DE LA ULTIMA INSPECCION AL NUMERO [TEL]DONDE SE DA RESPUESTA MEDIDOR SIN FUGAS OSEA TODO ESTA AL DIA,1
SE ACERCARON ARREGLAR LA RUPTURA DE LOS TUBOS PERO NO DEJARON EL ANDEN COMO ESTABA DEJARON UN REGUERO DE ESCOMBROS,1
SOLO ME ESTA LLEGANDO AGUA EN EL PRIMER PISO EN EL SEGUNDO NO TENGO EL SERVICIO SOLICITO REVISION POR PARTE DE LA EMPRESA CON URGENCIA,1
SOLICITAR LA RECOBEXION DEL SERVICIO,1
RECONEXION DEL SERVICIO,1
Un recibo que no es mio me llega a la propiedad,1
VENGO HACER UNA RECLAMACION DEL COBRO DE UNAS FACTURAS DE UNOS PREDIOS QUE SE ENCUENTRAN DESOCUPADOS PERO ME ESTAN COBRANDO UN MUNDO DE DINERO EN ASEO DONDE EL CONSUMO ESTA EN 0,1
SOLICITE INFORMACION DE COMO HACER UN CAMBIO DE SERVICIO PERO EL FUNCIONARIO ME DIJO QUE NO SABIA,1
SE ESTA DEVOLVIENDO EL AGUA PICHA A LAS CASAS SOLICITO PRONTA VISITA Y SEGUIMIENTO EN EL SECTOR YA QUE ESOS MALOS OLORES AFECTAN LA SALUD DE LOS HABITANTES,1
NECESITO CORTAR EL SERVICIO A MI NOMBRE,1
NO ESTOY CON EL TRATO TAN TERRIBLE DE LOS FUNCIONARIOS DE VANTI,1
HACER UN CANBIO DE CREDITO,1
UNO DE LOS INQUILINOS COLOCO DUCHA A GAS Y POR CULPA DE EL NOS QUEDAMOS SIN GAS EN 12 APARTAMENTOS,1
TENGO UNA VECINA QUE CONSUME AGUA ILEGALMENTE EN LA CR 9a 6a 48,1
VENGO A SOLICITAR INFORMACION SOBRE LA RECONEXION DEL SERVICIO,1
Para un servicio de gas.,1
ME ENVIAN UNOS FUNCIONARIOS QUE SOLO ME QUIEREN SACAR DINERO Y LA ATENCION ES PESIMA,1
LA PERSONA QUE ME ENVIARON PARA HACER LA MEDICION ME PIDIO AGUA CALIENTE Y ME DERRITIO EL CONTADOR QUE ME LO COBRARON A MI ME PARECE INJUSTO,1
SE ME FILTRAN EN EL APARTAMENTO DEL PRIMER PISO AL FONDO DE LA CASA UNAS AGUAS NEGRAS QUE VIENEN DE LA CUADRA DE ATRAS EL ACUEDUCTO NO HA DADO SOLUCION ALGUNA LLEVO DESDE AGOSTO CON ESTE INCONVENIENTE,1
ME COBRARON EL MEDIDOR SUPER CARO PEDI QUE SE ME HICIERA EL COBRO INDEPENDIENTE AL CONSUMO ME DICEN QUE NO SE PUEDE GENERAR ASI QUE TODO VIENE EN CONJUNTO,1
NO ESTAMOS DE ACUERDO CON LOS CORTES DE AGUA A DIARIO,1
NO ESTAMOS DE ACUERDO CON EL CORTE DEL SERVICIO TODA LA SEMANA,1
ME HICIERON CORTE DEL SERVICIO DEL APARTAMENTO QUE ESTABA AL DIA Y DESPUES ME VAN A COBRAR LA RECONEXION,1
